No,Transaction Number,Merchant ID,Tipe Transaksi,Nama Issuer,Nominal,Transaction Date,Status
40053,B005138917,X610002918,Pembayaran,BNI,7600.0,2022-07-09 21:41:52,success
40060,B005138901,X610110452,Pembayaran,DANA,50000.0,2022-07-09 21:41:18,success
40063,B005650434,X602013850,Pembayaran,MANDIRI,212000.0,2022-07-19 09:23:19,success
40073,B005138868,X601001828,Pembayaran,BNI,210000.0,2022-07-09 21:40:48,success
40085,B005138841,X610005448,Pembayaran,DANA,50000.0,2022-07-09 21:38:55,success
40099,B005650356,X617098920,Pembayaran,LINKAJA,2500.0,2022-07-19 09:21:49,success
40101,B006061490,X610005870,Pembayaran,OVO,100000.0,2022-07-29 23:51:08,success
40124,B006061457,X610164528,Pembayaran,LINKAJA,30000.0,2022-07-29 23:48:01,success
40151,B005138719,X606500249,Pembayaran,GOPAY,127000.0,2022-07-09 21:36:42,success
40151,B005650262,X610124013,Pembayaran,MANDIRI,39000.0,2022-07-19 09:19:59,success
40154,B006061410,X610164530,Pembayaran,LINKAJA,22500.0,2022-07-29 23:41:01,success
40176,B005138669,X609172539,Pembayaran,BRI,70000.0,2022-07-09 21:35:08,success
40176,B005138669,X609172539,Pembayaran,BRI,70000.0,2022-07-09 21:35:08,success
40187,B005650164,X602500232,Pembayaran,BNI,1.0,2022-07-19 09:18:39,success
40190,B005650161,X604500370,Pembayaran,BNI,1.0,2022-07-19 09:18:35,success
40192,B005138644,X610002918,Pembayaran,BNI,7600.0,2022-07-09 21:35:00,success
40222,B005138585,X612094437,Pembayaran,OVO,48000.0,2022-07-09 21:33:43,success
40290,B005649963,X607081508,Pembayaran,Allo Bank,3000.0,2022-07-19 09:14:04,success
40304,B005649943,X605500097,Pembayaran,BNI,1.0,2022-07-19 09:14:16,success
40321,B005138416,X610002918,Pembayaran,BNI,7600.0,2022-07-09 21:30:06,success
40326,B006061152,X610110453,Pembayaran,DANA,50000.0,2022-07-29 23:13:41,success
40381,B006061070,X610115864,Pembayaran,DANA,50000.0,2022-07-29 23:07:29,success
40384,B006061065,X610110453,Pembayaran,DANA,25000.0,2022-07-29 23:07:25,success
40400,B005649727,X615033481,Pembayaran,MANDIRI,12000.0,2022-07-19 09:10:19,success
40424,B005138228,X612094437,Pembayaran,DANA,100000.0,2022-07-09 21:25:35,success
40427,B005649674,X615122395,Pembayaran,MANDIRI,46000.0,2022-07-19 09:09:03,success
40445,B006060969,X610007351,Pembayaran,BRI,34000.0,2022-07-29 22:58:37,success
40447,B005649636,X601500156,Pembayaran,BNI,1.0,2022-07-19 09:08:28,success
40466,B006060940,X610153755,Pembayaran,DANA,100000.0,2022-07-29 22:56:16,success
40471,B005138138,X603057436,Pembayaran,BCA,89900.0,2022-07-09 21:23:49,success
40488,B005649547,X607500194,Pembayaran,BNI,1.0,2022-07-19 09:07:00,success
40527,B005649468,X603500143,Pembayaran,BNI,1.0,2022-07-19 09:05:30,success
40533,B005138041,X614001986,Pembayaran,BCA,79500.0,2022-07-09 21:21:58,success
40545,B005649430,,Pembayaran,BNI,1.0,2022-07-19 09:04:57,success
40555,B005138015,X610002918,Pembayaran,BNI,7600.0,2022-07-09 21:21:27,success
40592,B006060700,X606009874,Pembayaran,SHOPEEPAY,11000.0,2022-07-29 22:35:52,success
40601,B005649319,X614103534,Pembayaran,GOPAY,81000.0,2022-07-19 09:02:55,success
40605,B005137922,X610115760,Pembayaran,DANA,30000.0,2022-07-09 21:19:33,success
40623,B005649278,X601500163,Pembayaran,BNI,1.0,2022-07-19 09:02:04,success
40668,B006060590,X610153754,Pembayaran,DANA,50000.0,2022-07-29 22:25:34,success
40687,B005649151,X601500163,Pembayaran,BNI,1.0,2022-07-19 08:59:17,success
40687,B005649151,X601500163,Pembayaran,BNI,1.0,2022-07-19 08:59:17,success
40714,B005137742,X610002918,Pembayaran,BNI,7600.0,2022-07-09 21:16:38,success
40721,B005649083,X603500138,Pembayaran,BNI,1.0,2022-07-19 08:57:55,success
40743,B005137667,X214481640,Pembayaran,BNI,7600.0,2022-07-09 21:15:47,success
40765,B005137635,X215148040,Pembayaran,BNI,7600.0,2022-07-09 21:15:13,success
40802,B006060380,X610001576,Pembayaran,GOPAY,65000.0,2022-07-29 22:12:09,success
40813,B006060367,X610005870,Pembayaran,OVO,15831.0,2022-07-29 22:11:09,success
40837,B006060334,X605075555,Pembayaran,MANDIRI,69300.0,2022-07-29 22:08:52,success
40895,B006060244,X615500499,Pembayaran,BCA,270000.0,2022-07-29 22:02:19,success
40932,B006060187,X610005870,Pembayaran,OVO,100000.0,2022-07-29 22:00:21,success
40958,B005137378,X617099276,Pembayaran,MANDIRI,249300.0,2022-07-09 21:09:36,success
40978,B005137291,X210339172,Pembayaran,BNI,7600.0,2022-07-09 21:09:05,success
40991,B005648544,X605500089,Pembayaran,BNI,1.0,2022-07-19 08:46:44,success
41013,B005648493,X615033481,Pembayaran,BCA,27000.0,2022-07-19 08:45:36,success
41040,B005648453,X606193783,Pembayaran,BCA,40161.0,2022-07-19 08:44:40,success
41040,B006060018,X601073254,Pembayaran,BCA,62000.0,2022-07-29 21:49:37,success
41046,B005137247,X601187046,Pembayaran,GOPAY,42000.0,2022-07-09 21:07:17,success
41130,B006059876,X610110522,Pembayaran,LINKAJA,30000.0,2022-07-29 21:42:42,success
41167,B005648185,X607500199,Pembayaran,BNI,1.0,2022-07-19 08:39:09,success
41170,B005137054,X610002918,Pembayaran,BNI,7600.0,2022-07-09 21:04:29,success
41172,B005648179,X610005442,Pembayaran,DANA,25000.0,2022-07-19 08:38:54,success
41176,B006059798,X606500124,Pembayaran,BCA,48000.0,2022-07-29 21:38:01,success
41176,B006059798,X606500124,Pembayaran,BCA,48000.0,2022-07-29 21:38:01,success
41184,B006059783,X610164527,Pembayaran,BRI,50000.0,2022-07-29 21:38:07,success
41198,B005648118,X610010074,Pembayaran,GOPAY,25000.0,2022-07-19 08:37:56,success
41208,B006059747,X610110384,Pembayaran,DANA,100000.0,2022-07-29 21:36:49,success
41230,B006059700,X610195152,Pembayaran,BCA,235000.0,2022-07-29 21:35:28,success
41232,B005136948,X609006512,Pembayaran,MANDIRI,96000.0,2022-07-09 21:02:57,success
41375,B005647647,X608500758,Pembayaran,BNI,1.0,2022-07-19 08:29:20,success
41383,B005136635,X210339107,Pembayaran,BNI,7600.0,2022-07-09 20:58:57,success
41402,B005647579,X605500097,Pembayaran,BNI,1.0,2022-07-19 08:27:55,success
41416,B006059442,X603005427,Pembayaran,BCA,165000.0,2022-07-29 21:21:28,success
41420,B005647545,X610010074,Pembayaran,SHOPEEPAY,25000.0,2022-07-19 08:27:10,success
41440,B005136600,X610114798,Pembayaran,BCA,91000.0,2022-07-09 20:57:29,success
41442,B006059403,X610153754,Pembayaran,DANA,50000.0,2022-07-29 21:20:49,success
41442,B006059403,X610153754,Pembayaran,DANA,50000.0,2022-07-29 21:20:49,success
41482,B006059352,X614000895,Pembayaran,MANDIRI,22000.0,2022-07-29 21:18:57,success
41539,B006059254,X610153754,Pembayaran,DANA,50111.0,2022-07-29 21:14:47,success
41539,B006059254,X610153754,Pembayaran,DANA,50111.0,2022-07-29 21:14:47,success
41542,B006059245,X610185789,Pembayaran,BCA,93000.0,2022-07-29 21:14:54,success
41560,B005647201,X615008585,Pembayaran,BNI,5000.0,2022-07-19 08:19:34,success
41595,B005647130,X601500161,Pembayaran,BNI,1.0,2022-07-19 08:18:03,success
41598,B006059174,X602183426,Pembayaran,MANDIRI,230000.0,2022-07-29 21:12:17,success
41611,B006059135,X201000187,Pembayaran,BNI,271700.0,2022-07-29 21:11:39,success
41626,B006059132,X610110453,Pembayaran,DANA,25000.0,2022-07-29 21:10:51,success
41626,B006059132,X610110453,Pembayaran,DANA,25000.0,2022-07-29 21:10:51,success
41637,B005136241,X610002918,Pembayaran,BNI,7600.0,2022-07-09 20:52:14,success
41674,B006059064,X601182497,Pembayaran,OVO,5000.0,2022-07-29 21:08:31,success
41699,B006059028,X610110452,Pembayaran,DANA,21000.0,2022-07-29 21:07:07,success
41727,B006058984,X610153755,Pembayaran,DANA,100000.0,2022-07-29 21:05:50,success
41745,B005136072,X610002918,Pembayaran,BNI,7600.0,2022-07-09 20:50:08,success
41751,B006058937,X612500042,Pembayaran,BCA,85000.0,2022-07-29 21:04:26,success
41752,B006058946,X603100495,Pembayaran,DANA,15000.0,2022-07-29 21:04:19,success
41773,B005136026,X610002918,Pembayaran,BNI,7600.0,2022-07-09 20:49:29,success
41839,B005646496,X612094437,Pembayaran,DANA,50000.0,2022-07-19 07:59:42,success
41839,B005646496,X612094437,Pembayaran,DANA,50000.0,2022-07-19 07:59:42,success
41864,B006058789,X618141647,Pembayaran,BCA,48000.0,2022-07-29 20:58:56,success
41874,B005135851,X610002918,Pembayaran,BNI,7600.0,2022-07-09 20:47:13,success
41887,B006058752,X604500109,Pembayaran,BNI,37285.0,2022-07-29 20:57:38,success
41892,B006058743,X609120658,Pembayaran,BCA,220000.0,2022-07-29 20:57:23,success
41899,B005646322,X616005031,Pembayaran,BNI,1.0,2022-07-19 07:53:09,success
41907,B006058722,X610110452,Pembayaran,DANA,50000.0,2022-07-29 20:56:37,success
41909,B005135791,X610002918,Pembayaran,BNI,7600.0,2022-07-09 20:46:32,success
41945,B005646197,X605091518,Pembayaran,BNI,10000.0,2022-07-19 07:48:03,success
41945,B005646197,X605091518,Pembayaran,BNI,10000.0,2022-07-19 07:48:03,success
41955,B005646178,X608096225,Pembayaran,BNI,25000.0,2022-07-19 07:47:34,success
41956,B005135692,X212144091,Pembayaran,BNI,7600.0,2022-07-09 20:45:37,success
41966,B006058634,X614500402,Pembayaran,BSM,67500.0,2022-07-29 20:54:05,success
42000,B006058583,X606500242,Pembayaran,BCA,50000.0,2022-07-29 20:52:18,success
42040,B005135581,X610002918,Pembayaran,BNI,7600.0,2022-07-09 20:44:00,success
42050,B005135566,X609131054,Pembayaran,BSM,95000.0,2022-07-09 20:43:53,success
42071,B006058481,X610164528,Pembayaran,DANA,641711.0,2022-07-29 20:49:16,success
42101,B005135446,X206181893,Pembayaran,BNI,7600.0,2022-07-09 20:42:34,success
42101,B005135446,X206181893,Pembayaran,BNI,7600.0,2022-07-09 20:42:34,success
42151,B005645453,X612026555,Pembayaran,BCA,48000.0,2022-07-19 07:22:01,success
42168,B005645363,X610110452,Pembayaran,DANA,150000.0,2022-07-19 07:18:48,success
42187,B005135251,X215148347,Pembayaran,BNI,7600.0,2022-07-09 20:40:14,success
42204,B006058298,X618141463,Pembayaran,BCA,25000.0,2022-07-29 20:44:22,success
42204,B005645116,X607500190,Pembayaran,BNI,1.0,2022-07-19 07:08:48,success
42292,B005644618,X610010074,Pembayaran,BCA,12000.0,2022-07-19 06:47:25,success
42308,B005644495,X612500042,Pembayaran,OVO,85000.0,2022-07-19 06:43:20,success
42322,B005644336,X612500042,Pembayaran,MANDIRI,85000.0,2022-07-19 06:34:41,success
42334,B006058110,X608011105,Pembayaran,BCA,315000.0,2022-07-29 20:38:44,success
42368,B006058061,X602136142,Pembayaran,BCA,293700.0,2022-07-29 20:37:13,success
42499,B006057871,X610153754,Pembayaran,DANA,45000.0,2022-07-29 20:31:43,success
42554,B005134753,X610153755,Pembayaran,DANA,100000.0,2022-07-09 20:32:57,success
42560,B005642898,X612500042,Pembayaran,BRI,85000.0,2022-07-19 04:06:13,success
42565,B005642872,X610110527,Pembayaran,DANA,37000.0,2022-07-19 04:01:32,success
42591,B006057744,X615500409,Pembayaran,DANA,5000.0,2022-07-29 20:28:07,success
42602,B006057732,X610185789,Pembayaran,BCA,109000.0,2022-07-29 20:27:55,success
42609,B005642665,X610110453,Pembayaran,DANA,25000.0,2022-07-19 03:30:37,success
42678,B005134519,X212144083,Pembayaran,BNI,7600.0,2022-07-09 20:30:57,success
42782,B006057481,X610008475,Pembayaran,BCA,75000.0,2022-07-29 20:21:06,success
42829,B006057404,X612003049,Pembayaran,BRI,230400.0,2022-07-29 20:18:36,success
42888,B005134191,X611019094,Pembayaran,MANDIRI,76000.0,2022-07-09 20:26:43,success
42900,B005642068,X612500042,Pembayaran,DANA,85000.0,2022-07-19 01:25:43,success
42901,B005642067,X610153755,Pembayaran,DANA,100888.0,2022-07-19 01:24:47,success
42904,B005134160,X610002918,Pembayaran,BNI,7600.0,2022-07-09 20:26:21,success
42927,B006057246,X208147611,Pembayaran,BRI,364001.0,2022-07-29 20:15:20,success
43020,B005133973,X610110384,Pembayaran,OVO,178000.0,2022-07-09 20:24:30,success
43036,B005641749,X610153755,Pembayaran,DANA,50000.0,2022-07-19 00:39:49,success
43038,B005641747,X612094437,Pembayaran,DANA,70000.0,2022-07-19 00:39:20,success
43039,B005641746,X612500042,Pembayaran,BCA,170000.0,2022-07-19 00:38:52,success
43050,B005133914,X610002918,Pembayaran,BNI,7600.0,2022-07-09 20:23:49,success
43051,B006057106,X607101861,Pembayaran,MANDIRI,50000.0,2022-07-29 20:10:54,success
43058,B006057096,X610010074,Pembayaran,BCA,10000.0,2022-07-29 20:10:33,success
43156,B006056959,X612003049,Pembayaran,BCA,76000.0,2022-07-29 20:06:50,success
43166,B005133706,X610006258,Pembayaran,DANA,50000.0,2022-07-09 20:21:33,success
43207,B006056889,X618019221,Pembayaran,BRI,381180.0,2022-07-29 20:05:08,success
43251,B005641391,X609175540,Pembayaran,DANA,10000.0,2022-07-18 23:40:10,success
43255,B006056816,X610110385,Pembayaran,DANA,25000.0,2022-07-29 20:03:48,success
43262,B006056804,X610185789,Pembayaran,MANDIRI,94000.0,2022-07-29 20:03:38,success
43264,B005641360,X610153755,Pembayaran,BCA,200000.0,2022-07-18 23:35:20,success
43290,B006056762,X614097532,Pembayaran,BCA,41000.0,2022-07-29 20:02:28,success
43324,B005641258,X610153755,Pembayaran,DANA,50000.0,2022-07-18 23:23:09,success
43361,B005133326,X209207786,Pembayaran,BNI,7600.0,2022-07-09 20:18:22,success
43403,B005133333,X610002918,Pembayaran,BNI,7600.0,2022-07-09 20:17:44,success
43403,B005133333,X610002918,Pembayaran,BNI,7600.0,2022-07-09 20:17:44,success
43465,B005640939,X612094437,Pembayaran,DANA,130000.0,2022-07-18 22:54:01,success
43496,B005133162,X610002918,Pembayaran,BNI,7600.0,2022-07-09 20:16:11,success
43527,B005640756,X610153755,Pembayaran,DANA,50000.0,2022-07-18 22:39:31,success
43532,B005133100,X610002918,Pembayaran,BNI,7600.0,2022-07-09 20:15:33,success
43574,B005640629,X612094437,Pembayaran,DANA,25000.0,2022-07-18 22:30:32,success
43574,B005640629,X612094437,Pembayaran,DANA,25000.0,2022-07-18 22:30:32,success
43599,B005640564,X610110453,Pembayaran,DANA,25000.0,2022-07-18 22:27:08,success
43615,B005132983,X610002918,Pembayaran,BNI,7600.0,2022-07-09 20:14:17,success
43623,B005132949,X210338786,Pembayaran,BNI,7600.0,2022-07-09 20:14:13,success
43764,B006055928,X610110452,Pembayaran,DANA,95000.0,2022-07-29 19:44:32,success
43767,B006055924,X614103569,Pembayaran,BCA,60000.0,2022-07-29 19:44:36,success
43767,B006055924,X614103569,Pembayaran,BCA,60000.0,2022-07-29 19:44:36,success
43849,B005639777,X610110452,Pembayaran,DANA,50000.0,2022-07-18 21:46:46,success
43849,B005639777,X610110452,Pembayaran,DANA,50000.0,2022-07-18 21:46:46,success
43872,B006055698,X612500042,Pembayaran,GOPAY,85000.0,2022-07-29 19:40:50,success
43878,B006055705,X614005771,Pembayaran,BTN,240240.0,2022-07-29 19:40:44,success
43917,B005639524,X610005870,Pembayaran,GOPAY,490868.0,2022-07-18 21:37:05,success
43928,B005132421,X214480931,Pembayaran,BNI,7600.0,2022-07-09 20:09:19,success
43929,B006055608,X618057216,Pembayaran,BCA,23000.0,2022-07-29 19:39:17,success
43963,B006055543,X610164532,Pembayaran,DANA,50000.0,2022-07-29 19:37:39,success
43987,B006055491,X607103246,Pembayaran,MANDIRI,61000.0,2022-07-29 19:36:36,success
44000,B005132324,X610002918,Pembayaran,BNI,7600.0,2022-07-09 20:07:56,success
44015,B005639208,X610153453,Pembayaran,OVO,45051.0,2022-07-18 21:26:16,success
44020,B005132297,X610002918,Pembayaran,BNI,7600.0,2022-07-09 20:07:41,success
44020,B005639200,X610110385,Pembayaran,DANA,50000.0,2022-07-18 21:25:10,success
44020,B005132297,X610002918,Pembayaran,BNI,7600.0,2022-07-09 20:07:41,success
44060,B005132223,X610002918,Pembayaran,BNI,7600.0,2022-07-09 20:06:41,success
44060,B005132223,X610002918,Pembayaran,BNI,7600.0,2022-07-09 20:06:41,success
44085,B006055319,X605500082,Pembayaran,BNI,81000.0,2022-07-29 19:33:16,success
44100,B006055256,X601500090,Pembayaran,BRI,93000.0,2022-07-29 19:31:59,success
44106,B006055284,X610153754,Pembayaran,DANA,100000.0,2022-07-29 19:32:07,success
44143,B005132091,X610153755,Pembayaran,DANA,50000.0,2022-07-09 20:05:10,success
44170,B005132008,X206182172,Pembayaran,BNI,7600.0,2022-07-09 20:04:41,success
44177,B005131984,X210339164,Pembayaran,BNI,7600.0,2022-07-09 20:04:32,success
44193,B005638634,X610114719,Pembayaran,MANDIRI,203000.0,2022-07-18 21:07:49,success
44200,B006055123,X611062971,Pembayaran,BCA,190000.0,2022-07-29 19:28:47,success
44240,B005638474,X607081359,Pembayaran,BCA,63000.0,2022-07-18 21:03:42,success
44244,B005131923,X610153453,Pembayaran,GOPAY,75000.0,2022-07-09 20:03:15,success
44283,B005131843,X610002918,Pembayaran,BNI,7600.0,2022-07-09 20:02:29,success
44287,B006054966,X608500745,Pembayaran,BNI,24500.0,2022-07-29 19:25:23,success
44351,B006054865,X601500090,Pembayaran,BCA,3000.0,2022-07-29 19:23:23,success
44371,B006054837,X615118876,Pembayaran,BCA,479550.0,2022-07-29 19:22:33,success
44389,B006054810,X609500204,Pembayaran,SHOPEEPAY,50000.0,2022-07-29 19:21:54,success
44406,B005638006,X210301461,Pembayaran,BNI,4004200.0,2022-07-18 20:51:56,success
44423,B005131602,X610002918,Pembayaran,BNI,7600.0,2022-07-09 19:59:56,success
44440,B005131571,X617097625,Pembayaran,BRI,30000.0,2022-07-09 19:59:26,success
44482,B006054668,X610010074,Pembayaran,GOPAY,18000.0,2022-07-29 19:18:27,success
44494,B005637670,X609500184,Pembayaran,BNI,100000.0,2022-07-18 20:43:57,success
44500,B005131460,X607500144,Pembayaran,BNI,275000.0,2022-07-09 19:58:27,success
44504,B005131453,X610002918,Pembayaran,BNI,7600.0,2022-07-09 19:58:21,success
44519,B006054602,X607500071,Pembayaran,BRI,276084.0,2022-07-29 19:16:27,success
44519,B006054602,X607500071,Pembayaran,BRI,276084.0,2022-07-29 19:16:27,success
44522,B006054597,X616500028,Pembayaran,MANDIRI,261000.0,2022-07-29 19:16:43,success
44549,B005131374,X610002918,Pembayaran,BNI,7600.0,2022-07-09 19:57:35,success
44556,B006054537,X610164531,Pembayaran,DANA,25000.0,2022-07-29 19:15:20,success
44576,B005637346,X214136186,Pembayaran,BRI,35475.0,2022-07-18 20:36:23,success
44611,B006054437,X608500734,Pembayaran,BNI,50000.0,2022-07-29 19:12:48,success
44635,B005637168,,Pembayaran,DANA,25000.0,2022-07-18 20:31:36,success
44649,B005131189,X610500239,Pembayaran,MANDIRI,120000.0,2022-07-09 19:55:39,success
44652,B006054375,X610115835,Pembayaran,DANA,100000.0,2022-07-29 19:11:25,success
44666,B005131107,,Pembayaran,BNI,7600.0,2022-07-09 19:55:17,success
44755,B005636823,X204002802,Pembayaran,MANDIRI,620270.0,2022-07-18 20:23:29,success
44785,B005636744,X610153755,Pembayaran,DANA,50000.0,2022-07-18 20:21:29,success
44793,B006054147,X610110524,Pembayaran,DANA,20000.0,2022-07-29 19:06:02,success
44801,B005130921,X617002195,Pembayaran,SHOPEEPAY,136000.0,2022-07-09 19:52:54,success
44816,B005130882,X602135788,Pembayaran,BNI,71000.0,2022-07-09 19:52:22,success
44843,B005636554,X615102152,Pembayaran,GOPAY,18500.0,2022-07-18 20:17:53,success
44918,B006053933,X612085670,Pembayaran,BCA,157100.0,2022-07-29 19:01:40,success
44927,B005130646,X214481301,Pembayaran,BNI,7600.0,2022-07-09 19:50:04,success
44940,B005130642,X606008532,Pembayaran,BCA,20000.0,2022-07-09 19:49:11,success
44983,B006053812,X618034030,Pembayaran,SHOPEEPAY,32000.0,2022-07-29 18:59:15,success
45011,B006053764,X608030550,Pembayaran,BCA,533810.0,2022-07-29 18:58:06,success
45014,B005636115,X610153753,Pembayaran,DANA,50000.0,2022-07-18 20:07:41,success
45067,B005635960,X603130722,Pembayaran,MANDIRI,22000.0,2022-07-18 20:04:45,success
45075,B005635931,X612085670,Pembayaran,DANAMON,72800.0,2022-07-18 20:04:43,success
45077,B005130398,X609500228,Pembayaran,GOPAY,21000.0,2022-07-09 19:47:18,success
45085,B006053643,X609123484,Pembayaran,BCA,120000.0,2022-07-29 18:55:39,success
45095,B006053632,X608500729,Pembayaran,BCA,65500.0,2022-07-29 18:55:27,success
45113,B005129980,X208235382,Pembayaran,BNI,7600.0,2022-07-09 19:46:34,success
45152,B005635669,X210900429,Pembayaran,BCA,34000.0,2022-07-18 19:58:43,success
45152,B005635669,X210900429,Pembayaran,BCA,34000.0,2022-07-18 19:58:43,success
45191,B006053465,X618004120,Pembayaran,BNI,122400.0,2022-07-29 18:51:44,success
45198,B005130141,X610002918,Pembayaran,BNI,7600.0,2022-07-09 19:44:54,success
45255,B006053365,X605066327,Pembayaran,BCA,70000.0,2022-07-29 18:49:24,success
45255,B006053365,X605066327,Pembayaran,BCA,70000.0,2022-07-29 18:49:24,success
45270,B005130036,X610002918,Pembayaran,BNI,7600.0,2022-07-09 19:43:41,success
45275,B005129975,X201177946,Pembayaran,BNI,7600.0,2022-07-09 19:43:35,success
45319,B005635174,X609120764,Pembayaran,MANDIRI,254000.0,2022-07-18 19:48:30,success
45319,B005635174,X609120764,Pembayaran,MANDIRI,254000.0,2022-07-18 19:48:30,success
45323,B006053250,X610110452,Pembayaran,DANA,50000.0,2022-07-29 18:46:20,success
45345,B005635117,X618087180,Pembayaran,OVO,15000.0,2022-07-18 19:47:12,success
45376,B005634998,X609017110,Pembayaran,SHOPEEPAY,18000.0,2022-07-18 19:45:02,success
45412,B006053077,X207191107,Pembayaran,BPD SULSELBAR,89700.0,2022-07-29 18:37:18,success
45416,B006053095,X612003049,Pembayaran,BRI,182400.0,2022-07-29 18:42:07,success
45418,B006053092,X610010074,Pembayaran,BCA,40000.0,2022-07-29 18:42:25,success
45419,B006053076,X207140690,Pembayaran,MANDIRI,3000.0,2022-07-29 18:42:26,success
45437,B005129661,X215148289,Pembayaran,BNI,7600.0,2022-07-09 19:40:42,success
45440,B005129732,X610002918,Pembayaran,BNI,7600.0,2022-07-09 19:40:39,success
45446,B005634797,X617096575,Pembayaran,GOPAY,27000.0,2022-07-18 19:41:36,success
45501,B006052954,X617500171,Pembayaran,BCA,93000.0,2022-07-29 18:39:46,success
45514,B005634595,X610500434,Pembayaran,BRI,47000.0,2022-07-18 19:37:13,success
45530,B006052889,X601182492,Pembayaran,BNI,1.0,2022-07-29 18:38:34,success
45548,B006052861,X610185789,Pembayaran,BCA,208000.0,2022-07-29 18:37:52,success
45566,B006052823,X604194335,Pembayaran,SHOPEEPAY,3.0,2022-07-29 18:37:02,success
45587,B005129450,X610002918,Pembayaran,BNI,7600.0,2022-07-09 19:37:43,success
45597,B006052774,X610164527,Pembayaran,DANA,50000.0,2022-07-29 18:36:01,success
45617,B005129367,X610002918,Pembayaran,BNI,7600.0,2022-07-09 19:36:52,success
45646,B005129310,X618019515,Pembayaran,DANA,132000.0,2022-07-09 19:36:16,success
45695,B005129219,X610002918,Pembayaran,BNI,7600.0,2022-07-09 19:35:32,success
45699,B005634031,X608012486,Pembayaran,BCA,195000.0,2022-07-18 19:26:51,success
45712,B005129175,X618087170,Pembayaran,BCA,123000.0,2022-07-09 19:34:51,success
45736,B005129104,X210338810,Pembayaran,BNI,7600.0,2022-07-09 19:34:38,success
45756,B005633794,X217225655,Pembayaran,BSM,130000.0,2022-07-18 19:22:37,success
45832,B006052384,X610001576,Pembayaran,BCA,60000.0,2022-07-29 18:27:28,success
45857,B005128868,X217200369,Pembayaran,BNI,7600.0,2022-07-09 19:32:43,success
45888,B005633473,X610153755,Pembayaran,OVO,99000.0,2022-07-18 19:15:41,success
45919,B005128813,X610002918,Pembayaran,BNI,7600.0,2022-07-09 19:31:40,success
45951,B005633296,X617098694,Pembayaran,BRI,87500.0,2022-07-18 19:11:39,success
45952,B005633294,X615033203,Pembayaran,MANDIRI,72000.0,2022-07-18 19:12:07,success
46007,B005128671,X610002918,Pembayaran,BNI,7600.0,2022-07-09 19:30:14,success
46015,B005128653,X610002918,Pembayaran,BNI,7600.0,2022-07-09 19:30:01,success
46024,B006052084,X610077455,Pembayaran,BNI,28000.0,2022-07-29 18:20:09,success
46033,B005128617,X610002918,Pembayaran,BNI,7600.0,2022-07-09 19:29:42,success
46038,B005633015,X618019045,Pembayaran,GOPAY,276000.0,2022-07-18 19:06:44,success
46121,B006051911,X603137637,Pembayaran,BNI,36000.0,2022-07-29 18:16:09,success
46188,B006051795,X601500110,Pembayaran,OVO,50000.0,2022-07-29 18:13:11,success
46202,B005128320,X610110527,Pembayaran,DANA,30000.0,2022-07-09 19:26:47,success
46259,B006051678,X614264990,Pembayaran,OVO,95000.0,2022-07-29 18:10:04,success
46273,B005128193,X610002918,Pembayaran,BNI,7600.0,2022-07-09 19:25:41,success
46282,B005128176,X610002918,Pembayaran,BNI,7600.0,2022-07-09 19:25:30,success
46289,B005128160,X610002918,Pembayaran,BNI,7600.0,2022-07-09 19:25:21,success
46290,B005632250,X612004584,Pembayaran,BCA,190575.0,2022-07-18 18:51:13,success
46330,B005127906,X210338810,Pembayaran,BNI,7600.0,2022-07-09 19:24:33,success
46353,B006051525,X612105424,Pembayaran,BCA,169800.0,2022-07-29 18:05:29,success
46402,B006051437,X601182497,Pembayaran,BCA,55000.0,2022-07-29 18:04:23,success
46419,B006051396,X607102250,Pembayaran,BRI,30000.0,2022-07-29 18:02:29,success
46423,B006051391,X610153452,Pembayaran,DANA,100000.0,2022-07-29 18:03:17,success
46441,B005631833,X610110384,Pembayaran,DANA,20000.0,2022-07-18 18:42:53,success
46528,B005127730,X609170164,Pembayaran,BCA,100000.0,2022-07-09 19:21:27,success
46528,B005127730,X609170164,Pembayaran,BCA,100000.0,2022-07-09 19:21:27,success
46543,B005631548,X602016472,Pembayaran,LINKAJA,133000.0,2022-07-18 18:37:09,success
46550,B005631521,X608015808,Pembayaran,BCA,138600.0,2022-07-18 18:35:57,success
46554,B005127683,X610002918,Pembayaran,BNI,7600.0,2022-07-09 19:21:09,success
46567,B005631469,X604003107,Pembayaran,MANDIRI,27000.0,2022-07-18 18:35:43,success
46577,B005631442,X214443343,Pembayaran,BCA,50000.0,2022-07-18 18:35:05,success
46617,B005631323,X606500051,Pembayaran,MANDIRI,50852.0,2022-07-18 18:32:51,success
46617,B005631323,X606500051,Pembayaran,MANDIRI,50852.0,2022-07-18 18:32:51,success
46631,B005127561,X610002918,Pembayaran,BNI,7600.0,2022-07-09 19:19:47,success
46635,B005631261,X618500100,Pembayaran,GOPAY,64500.0,2022-07-18 18:31:38,success
46688,B005127454,X618089504,Pembayaran,BCA,139150.0,2022-07-09 19:18:46,success
46702,B006050919,X612085670,Pembayaran,BCA,273700.0,2022-07-29 17:51:14,success
46722,B005631031,X611045098,Pembayaran,OVO,125000.0,2022-07-18 18:26:54,success
46740,B005127376,X610002918,Pembayaran,BNI,7600.0,2022-07-09 19:18:07,success
46740,B006050850,X603500120,Pembayaran,MANDIRI,156500.0,2022-07-29 17:50:52,success
